fit_id,db_name,trial_start,trial_stop,num_trials,script_name,commit,fit_model,ref_model,disc,fit_method
1,db1.h5,1,9000,9000,fit_analysis_1.m,c20f184,lin,lin,4.8060,map
1,db1.h5,1,9000,9000,fit_analysis_1.m,c20f184,lin,nonlin,6.6583,map
1,db1.h5,1,9000,9000,fit_analysis_1.m,c20f184,nonlin,lin,0.3254,map
1,db1.h5,1,9000,9000,fit_analysis_1.m,c20f184,nonlin,nonlin,0.5507,map
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.1523,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.0028,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.5079,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.2121,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.4214,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4419,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.8815,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.7317,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.8325,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.7327,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3266,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.6222,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1718,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1693,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.5314,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7814,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.1725,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.6717,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3418,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1835,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6914,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9462,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.7422,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9615,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.9222,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.5864,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.3411,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6164,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.2585,max_pp
